peaks,valleys,open_speed,close_speed,speed,accerate,open_amplitude,peak_amplitude,valley_amplitude,peak_period
10.0,36.0,-5.153019511585199,6.224310080932747,8.790814666180893,-0.3094236019704599,33.42982636476608,0.6800459422322848,0.0057456834645705345,0.20416666666666666
59.0,88.0,-7.949687502085639,4.062854542825077,8.481391064210433,-0.5408218110875769,24.33878110574285,0.4995767199914854,0.008648462733455322,0.20833333333333334
109.0,136.0,-4.873909063016128,5.803353573308112,7.940569253122856,-0.8615287387070856,32.36773784931171,0.7042461191659489,0.05136884216878646,0.2
157.0,182.0,-7.201414064760418,4.587224497753899,7.07904051441577,6.84897897631562,23.689699751419887,0.4778358851826977,0.0,0.2041666666666666
206.0,231.0,-6.313937843232558,6.739327155715336,13.92801949073139,-2.322960082588345,34.80375484645667,0.7201414064760416,0.018128161089026974,0.20416666666666672
255.0,281.0,-6.24416633337288,5.871898644576911,11.605059408143045,-2.8966856746357017,31.537077935920475,0.6495219454122826,0.013399592249783578,0.2041666666666666
304.0,327.0,-6.810436423834863,6.139343641754711,8.708373733507344,-3.044278445247085,29.16885166748599,0.6117988658646839,0.023445100196523416,0.19999999999999996
352.0,376.0,-5.3737429041563,6.959334088831649,5.664095288260259,-2.6502372597524992,34.502334409482074,0.7328655610126541,0.036932152129488624,0.20000000000000018
400.0,425.0,-7.434731198188079,5.070517740353569,3.0138580285077596,-2.1310364356855613,26.18556011637088,0.5743064425451191,0.0461275112582897,0.2041666666666666
449.0,472.0,-5.484312224598802,7.258614607262771,0.8828215928221985,-0.2841640511076272,34.48665934754228,0.7896006310770982,0.09398339788108341,0.19583333333333353
496.0,524.0,-6.700196040566486,5.2488104681582355,0.5986575417145713,0.9398006020022075,30.359070805473046,0.6424146203409653,0.030053399055840018,0.21666666666666634
548.0,570.0,-7.179167508685704,7.353236222576303,1.5384581437167788,0.8670698000281911,33.41725337215665,0.7000730031124892,0.026026349376327185,0.20833333333333348
598.0,626.0,-6.600343257050084,7.173180962577546,2.40552794374497,1.2710034906268146,41.48961180146746,0.8635958920563261,0.026724779755612223,0.21666666666666679
650.0,674.0,-8.31652499996545,6.570203554565931,3.6765314343717845,1.6430962299512597,32.57313951083177,0.6867591054606212,0.029738750004030458,0.21666666666666634
702.0,723.0,-5.040731784801313,10.747806530793914,5.319627664323044,2.021210020705758,46.6239095674178,1.0,0.059566928555528705,0.19166666666666687
748.0,771.0,-7.0876003670005305,5.757719015124081,7.340837685028802,2.329565276678549,27.35570147156905,0.5846431561389981,0.03286175052294098,0.19166666666666643
794.0,817.0,-7.494059066449681,7.125406769561165,9.670402961707351,2.3168778604539675,33.853770901220805,0.7120901190271576,0.02923863694421021,0.19583333333333375
841.0,865.0,-7.56763796531373,7.529851688842991,11.987280822161319,1.7367293018414607,37.33079310550511,0.778644543589179,0.02565937470488251,0.2041666666666666
890.0,914.0,-6.448876178619977,7.98542584948383,13.72401012400278,1.0379065611212255,39.58939598878586,0.8139549960917316,0.015412411143351491,0.20833333333333304
940.0,965.0,-6.536777580557867,6.5962691379899585,14.761916685124005,0.32584206738909494,34.0649635602209,0.7140406638271827,0.026929295286562918,0.19999999999999973
988.0,1012.0,-5.902414130084047,6.217129114943239,15.0877587525131,-0.4169206983630236,30.822700139505976,0.6533704800900245,0.03165756859569732,0.20000000000000018
1036.0,1058.0,-6.294083944328492,6.417216481220389,14.670838054150076,-1.1855527008038997,29.163451656634983,0.6218989816041,0.03365413749223026,0.1875
1081.0,1103.0,-5.209314920736628,6.627167813349416,13.485285353346177,-1.5534510209937569,30.11758894383877,0.6368371821570433,0.029346799266679362,0.19166666666666732
1127.0,1148.0,-5.866755981171953,5.950491425903012,11.93183433235242,-1.755273629913093,25.813190191701445,0.550278291340345,0.02961029157383465,0.2041666666666666
1176.0,1198.0,-5.303397570671201,7.522786437572082,10.176560702439327,-1.9306869857732067,34.18778519274734,0.7140651560438986,0.024476399266463604,0.1999999999999993
1224.0,1247.0,-5.707334446660371,5.960303353671567,8.24587371666612,-2.014011693246794,28.31820705295723,0.5990111360891774,0.02781539802898105,0.20833333333333393
1274.0,1298.0,-6.030275387768391,6.430219445289685,6.231862023419326,-1.8459356734581958,31.879139411308838,0.6698905232782718,0.02686857874930559,0.20000000000000018
1322.0,1344.0,-4.490885195308605,6.5246763975105075,4.38592634996113,-1.5105574840700284,29.65181013463277,0.6298961175261479,0.031800781087689765,0.1875
