time,Point1_x,Point1_y,Point1_z,Point2_x,Point2_y,Point2_z,dis
0.0,-61.48028149512075,107.93099308778774,276.60250156366317,-76.58329198307572,103.2031144172632,280.27277032396006,23.501157918776414
0.004166666666666667,-61.23698831969935,108.52110402674873,276.7471195329156,-77.49076271687403,102.04882491890176,280.7100438989991,26.688977871105195
0.008333333333333333,-61.07977936485622,109.17187967337895,277.1111861226095,-78.4010706165534,100.65555645334916,281.27150730366026,29.9979356527777
0.0125,-60.91827857959049,109.9181461160827,277.58804046048203,-79.3647893578599,99.06467600260989,281.97020764375236,33.68214807501255
0.016666666666666666,-60.7836516026633,110.66374895447825,278.14608484709254,-80.38803397416183,97.43274604534385,282.7430745448595,37.43237497839989
0.020833333333333332,-60.677415538646954,111.4306012077036,278.7758627475881,-81.36277112085655,95.86303273259605,283.45300190051233,40.93006321024136
0.025,-60.57688727628292,112.14371751292694,279.52214481653846,-82.16868924200739,94.56459063032332,283.94748263172943,43.59626666351906
0.029166666666666667,-60.52606382968574,112.77096625142066,280.22553295337866,-82.82639125495504,93.57895230033088,284.2357385962432,45.50254701922363
0.03333333333333333,-60.47817166454644,113.31898418999727,280.8812545929851,-83.27966545156065,93.01797999254114,284.1998825009931,46.421125892478344
0.0375,-60.433561554945754,113.80281422077644,281.4619869061236,-83.71321623936564,92.78249666254328,283.91798751078284,46.75597284731225
0.041666666666666664,-60.47669626437238,114.15925682657115,281.98829485959743,-84.08910401879689,92.86594286813764,283.4505011384175,46.3679279916781
0.04583333333333333,-60.48689573149903,114.44565194101443,282.3999035573895,-84.3572901153533,93.2031511139263,282.8443636778266,45.5573553313795
0.05,-60.523118886855855,114.63470181733577,282.6901532747516,-84.59811743519185,93.78501423424248,282.3122461501267,45.30259325605415
0.05416666666666667,-60.579785861572645,114.73502059058474,282.8989096595561,-84.74429001777786,94.53777243418449,281.7705308834532,45.49013108870838
0.058333333333333334,-60.68846005565558,114.7518785706264,282.97627036613943,-84.80569475911437,95.39978866539913,281.3740021121688,45.0715928626567
0.0625,-60.820194913504594,114.6254988936437,283.00164608599425,-84.74982474198086,96.31510060966444,281.0997130748644,44.14196112358539
0.06666666666666667,-61.04059905222948,114.46424889708744,282.9396767529046,-84.47403962034872,97.29366565113918,280.8890117249969,42.65468884197516
0.07083333333333333,-61.252132715564215,114.23512692692509,282.81338077625264,-84.02467635920523,98.3008892394994,280.9043287121017,40.61583339521766
0.075,-61.47149754478801,113.87590120704198,282.6374258007151,-83.31869346889414,99.3900308438987,280.9875170249374,37.98297506302711
0.07916666666666666,-61.738405727757936,113.46529309177956,282.44635839755233,-82.40092068237703,100.5537088262272,281.11634591630377,34.90411170142002
0.08333333333333333,-61.97015060642883,113.06399253299381,282.1314389014062,-81.29655083930714,101.76613264485061,281.2645156017853,31.491183420642415
0.0875,-62.23927262842079,112.53651325840063,281.83935781907496,-79.98953302548716,103.001143090963,281.3947012214361,27.730287162142872
0.09166666666666666,-62.486745422533005,112.03369065858826,281.4229452345646,-78.59950777238274,104.21032328603579,281.45366316197885,23.96684764981643
0.09583333333333334,-62.69995066078042,111.76988584142464,280.96664618278663,-77.4944365713377,105.2663301108295,281.18888768044326,21.52028313880905
0.1,-62.81417245101537,111.5675419827776,280.4232931636687,-76.48492285540664,106.17658864271034,280.74688762680796,19.3852982075978
0.10416666666666667,-62.96195904845558,111.2507709175707,279.9593111294082,-75.49853900149816,106.97936548814063,280.30268205995003,17.151356313014475
0.10833333333333334,-63.08850908403565,110.96122866109653,279.418930524081,-74.50672762273854,107.82582949221086,279.8115641962241,14.94625137973162
0.1125,-63.130265802653895,110.72587254697986,278.95407083220334,-73.77917068776873,108.35294749133939,279.37271401637133,13.440473124923287
0.11666666666666667,-63.23724607241479,110.72822893166871,278.7425891030064,-73.68496005691185,108.42304808054674,279.0680494688096,13.078355201422198
0.12083333333333333,-63.31977135329194,110.67943769951569,278.5192772459336,-73.7198977198932,108.3976591352841,278.76220107378106,12.924828758680292
0.125,-63.37815117954975,110.6035303565951,278.27123641686575,-73.7063811417928,108.34093882449127,278.45870679842403,12.778291875905168
0.12916666666666668,-63.451954150008135,110.52515930965838,278.0944230155251,-73.70339936370937,108.3303589485307,278.2126510304637,12.564473589767516
0.13333333333333333,-63.521224729561766,110.47269577617354,277.9686543764209,-73.73973811575169,108.32032471125626,278.0405217933853,12.442751868071639
0.1375,-63.55066614987612,110.43498255340131,277.8684220770507,-73.7748080907769,108.31602808889879,277.9528336404191,12.427507968771707
0.14166666666666666,-63.63704693276509,110.36109223224011,277.79420029140954,-73.83386958031298,108.2536527573669,277.908505764436,12.418567595447541
0.14583333333333334,-63.67322727784102,110.30001476988173,277.7043127734869,-73.87128296911112,108.19675728718614,277.85866350878564,12.45566390926443
0.15,-63.69355847905007,110.21126656592139,277.6008035567275,-73.91341213127052,108.13903584701049,277.75723649743657,12.448517311840419
0.15416666666666667,-63.702082649948494,110.11593920061999,277.55800633651745,-73.9716449448824,108.0743546538494,277.7060693924375,12.459209897624532
0.15833333333333333,-63.719259084971014,110.00391161761857,277.52053261005443,-74.02070907598588,108.0275358724104,277.6671766738498,12.424469800018386
0.1625,-63.74596466505659,109.90137649717107,277.4566273022404,-74.08897114772614,107.94238309350402,277.6489822294279,12.494354813524069
0.16666666666666666,-63.731279007530645,109.77651565107095,277.40429758347074,-74.13629400379457,107.89446122245428,277.5925967686727,12.475368610082569
0.17083333333333334,-63.750148459782594,109.60643742734746,277.38777106600315,-74.27486999975139,107.83964551127747,277.5142429431225,12.417985333158128
